#{"t_start": 1653929670.751595, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
63.922555,7,0.191546
54.270197,6,0.195775
45.495466,5,0.198654
36.018223,4,0.201193
45.39403,5,0.203923
54.765182,6,0.206856
45.31919,5,0.209306
63.644705,7,0.212431
45.07222,5,0.21495
64.056241,7,0.218311
35.935274,4,0.220281
54.198784,6,0.222963
45.387371,5,0.225238
44.979514,5,0.227636
54.639103,6,0.230287
64.055398,7,0.233276
45.087717,5,0.235608
73.377254,8,0.240459
54.783123,6,0.297469
63.77062,7,0.338865
63.793849,7,0.383318
54.510838,6,0.43323
44.91002,5,0.473404
45.587855,5,0.504416
45.057749,5,0.541738
44.723724,5,0.572896
45.324434,5,0.609717
35.860458,4,0.63985
36.016417,4,0.666953
35.888058,4,0.693961
35.636168,4,0.7211
35.60377,4,0.748113
35.525832,4,0.776017
35.305396,4,0.803613
35.376401,4,0.830756
35.246578,4,0.857805
35.019684,4,0.884861
35.317868,4,0.912074
26.834693,3,0.938422
35.199644,4,0.96236
26.695829,3,0.988884
35.219134,4,1.008133
26.823001,3,1.035987
26.848896,3,1.059677
34.958385,4,1.07839
26.900935,3,1.105218
26.846975,3,1.12917
34.952739,4,1.147851
26.72215,3,1.174517
35.544551,4,1.198627
35.070747,4,1.225976
26.882968,3,1.252781
26.814949,3,1.271554
26.935897,3,1.295205
26.854886,3,1.313198
26.835337,3,1.336423
26.876566,3,1.354287
26.831801,3,1.377675
35.062329,4,1.396325
26.886184,3,1.422685
35.381735,4,1.447004
26.815979,3,1.473485
26.893436,3,1.491436
26.936015,3,1.514764
26.769414,3,1.533661
26.706775,3,1.557002
26.876605,3,1.574857
26.796477,3,1.59954
26.773971,3,1.617537
26.828824,3,1.640848
26.903466,3,1.658634
26.825597,3,1.681827
26.821864,3,1.699647
26.887247,3,1.722786
26.92403,3,1.740525
26.791454,3,1.763803
26.792389,3,1.782697
34.957057,4,1.806742
26.764512,3,1.833228
35.088037,4,1.852047
35.031108,4,1.879181
26.848633,3,1.90606
26.814628,3,1.929326
34.957108,4,1.94789
35.09693,4,1.975046
35.285577,4,2.002334
26.823524,3,2.029797
26.852416,3,2.053324
35.000488,4,2.071963
34.955783,4,2.0994
26.807427,3,2.12599
26.895363,3,2.153422
26.904566,3,2.175415
35.302075,4,2.206372
26.74357,3,2.239734
26.863879,3,2.259286
35.04898,4,2.284358
26.900769,3,2.311302
34.906455,4,2.334368
35.255376,4,2.375007
35.261925,4,2.40303
26.814739,3,2.42962
35.087519,4,2.454724
26.85592,3,2.482033
26.842458,3,2.500154
34.90768,4,2.524948
26.748508,3,2.552051
26.935713,3,2.570271
26.824307,3,2.595539
26.849225,3,2.61484
26.889493,3,2.638356
35.135687,4,2.657056
35.113249,4,2.684279
26.784006,3,2.71079
35.286144,4,2.73486
26.791828,3,2.764874
26.832811,3,2.783712
34.93671,4,2.810431
26.871673,3,2.837145
26.893412,3,2.855035
26.912636,3,2.878278
26.820653,3,2.896071
35.19946,4,2.920372
35.038337,4,2.947493
26.892264,3,2.973813
26.818982,3,2.991589
26.829337,3,3.014816
35.260129,4,3.034106
26.780451,3,3.060631
26.871782,3,3.083816
35.159223,4,3.102432
26.807533,3,3.128932
26.905936,3,3.152221
26.896331,3,3.169993
26.755068,3,3.193263
26.774488,3,3.211029
26.916667,3,3.234567
26.884057,3,3.252996
35.18351,4,3.280357
34.866724,4,3.312943
26.818245,3,3.339602
26.803214,3,3.357409
26.934638,3,3.380856
26.863448,3,3.399533
26.886721,3,3.42304
35.094119,4,3.441723
26.837564,3,3.468401
35.010105,4,3.492781
35.268482,4,3.52007
35.043257,4,3.547508
26.890776,3,3.574081
35.173858,4,3.593299
26.765211,3,3.619679
26.83069,3,3.642969
26.835484,3,3.660843
26.863098,3,3.684109
35.010588,4,3.702581
26.738933,3,3.728961
35.207588,4,3.752959
34.976409,4,3.780081
26.866538,3,3.806627
35.070629,4,3.825199
26.875947,3,3.851779
26.839359,3,3.874964
26.869535,3,3.892751
26.868572,3,3.915952
35.018984,4,3.934528
26.853526,3,3.960823
26.796709,3,3.983964
26.792333,3,4.002437
26.854168,3,4.025872
26.94066,3,4.043963
26.704426,3,4.06719
26.89106,3,4.084946
26.867078,3,4.108284
26.837029,3,4.126083
26.890049,3,4.149435
35.055399,4,4.167954
35.195543,4,4.194973
35.044845,4,4.222113
35.117705,4,4.249289
26.782099,3,4.275702
26.919554,3,4.299271
26.871551,3,4.318289
35.24463,4,4.342786
26.79643,3,4.369211
26.719759,3,4.387025
26.780183,3,4.41021
34.985727,4,4.42879
35.254488,4,4.455967
26.895579,3,4.482516
26.744068,3,4.505786
34.904103,4,4.524328
26.898606,3,4.551265
26.872752,3,4.574588
26.625038,3,4.593697
26.797531,3,4.618268
26.833919,3,4.636239
26.87924,3,4.659619
26.754715,3,4.677429
35.086946,4,4.701321
26.937611,3,4.727829
35.276689,4,4.746423
26.881387,3,4.772921
26.850509,3,4.796785
26.924054,3,4.814801
26.81963,3,4.838078
26.875146,3,4.855986
26.877122,3,4.879215
34.999255,4,4.897742
26.864726,3,4.924125
26.704594,3,4.947376
26.85761,3,4.965348
26.91142,3,4.98853
26.880942,3,5.006363
26.842642,3,5.029824
35.206593,4,5.048534
35.227232,4,5.075912
26.850536,3,5.102516
26.883109,3,5.12589
26.902568,3,5.143872
34.900448,4,5.168016
26.907463,3,5.195724
26.902642,3,5.214291
34.959905,4,5.238609
26.967141,3,5.265392
35.057316,4,5.284755
34.935837,4,5.312335
35.087882,4,5.339674
35.060252,4,5.367042
26.684478,3,5.393706
26.877242,3,5.417078
26.846609,3,5.435032
34.920999,4,5.459135
34.912705,4,5.486779
26.724029,3,5.513441
35.283512,4,5.53243
26.745601,3,5.559265
26.803551,3,5.582894
26.869023,3,5.601585
35.044603,4,5.625709
26.815887,3,5.652512
34.939716,4,5.671304
35.257881,4,5.698874
26.834823,3,5.725617
26.876755,3,5.749661
26.890562,3,5.76781
26.836802,3,5.792269
26.932105,3,5.810885
26.760548,3,5.834753
26.837381,3,5.852965
26.837892,3,5.87649
26.707227,3,5.894818
35.290127,4,5.919031
34.925956,4,5.946523
26.835772,3,5.973356
35.081781,4,5.992323
26.748379,3,6.019101
26.945414,3,6.043101
26.64667,3,6.061752
35.37296,4,6.086835
34.998087,4,6.114511
35.2634,4,6.141968
26.841683,3,6.169325
35.417976,4,6.188315
26.824023,3,6.215142
26.726735,3,6.238865
26.827579,3,6.257037
35.04447,4,6.281378
26.856553,3,6.308483
26.90476,3,6.326618
35.308207,4,6.35076
35.067569,4,6.378199
26.791905,3,6.406305
26.914188,3,6.424751
26.70256,3,6.448713
35.181181,4,6.467719
26.856126,3,6.494835
26.778091,3,6.518583
26.902589,3,6.575851
35.023362,4,6.604669
35.223877,4,6.636782
26.936262,3,6.664267
26.791579,3,6.682373
27.01393,3,6.705955
26.887564,3,6.724008
26.867979,3,6.747535
26.886891,3,6.76559
26.845042,3,6.78948
26.862119,3,6.807758
26.906974,3,6.831248
26.868826,3,6.849473
35.007478,4,6.873589
26.872812,3,6.900234
35.018988,4,6.919053
34.842708,4,6.946391
26.697831,3,6.973111
26.822886,3,6.997576
26.778409,3,7.016089
26.870783,3,7.039785
26.801091,3,7.057969
26.828609,3,7.08159
26.792009,3,7.099797
26.816433,3,7.123444
35.300119,4,7.142115
26.931004,3,7.169022
35.210507,4,7.193241
26.92866,3,7.220667
26.778368,3,7.238845
35.386741,4,7.263125
27.006365,3,7.289974
35.220706,4,7.309063
35.500223,4,7.336676
26.980257,3,7.363509
26.867251,3,7.38697
26.939574,3,7.405006
35.452027,4,7.429302
35.674458,4,7.456752
44.882185,5,7.485035
45.561208,5,7.516459
54.517563,6,7.554362
54.431777,6,7.598464
45.546914,5,7.639145
63.994396,7,7.671974
82.311775,9,7.723933
73.159401,8,7.788009
64.145672,7,7.857677
54.453968,6,7.9068
63.469417,7,7.948231
54.385738,6,7.992006
45.38956,5,8.031877
54.529278,6,8.069417
45.350045,5,8.109688
54.190935,6,8.144453
45.400171,5,8.205607
54.06777,6,8.244068
54.168111,6,8.289755
63.649654,7,8.333411
54.415748,6,8.377955
54.0234,6,8.419911
64.085987,7,8.463939
63.614491,7,8.51695
63.73813,7,8.564911
82.588704,9,8.619472
92.0036,10,8.681815
73.623526,8,8.752699
63.847903,7,8.820554
73.523993,8,8.89719
73.46898,8,8.975043
63.898012,7,9.033774
73.322277,8,9.08103
73.701354,8,9.139111
101.445533,11,9.199799
110.845477,12,9.282476
119.403973,13,9.371987
73.443574,8,9.462996
91.979357,10,9.525719
64.265084,7,9.602154
101.329034,11,9.67099
82.539402,9,9.756449
119.923376,13,9.835426
110.577132,12,9.939871
91.972419,10,10.04286
110.491469,12,10.153273
92.287763,10,10.290339
128.997457,14,10.402681
110.122696,12,10.55809
91.952816,10,10.692979
156.875687,17,10.816297
82.947838,9,10.947816
92.092662,10,11.01264
92.261537,10,11.098467
129.026644,14,11.181633
129.095648,14,11.313744
101.340003,11,11.465202
110.859098,12,11.571722
157.661088,17,11.657593
119.761872,13,11.767536
83.047229,9,11.858333
82.231858,9,11.917399
91.451325,10,11.982402
73.493429,8,12.05004
73.204241,8,12.104671
91.464123,10,12.162756
101.682099,11,12.233514
82.754939,9,12.30564
110.390273,12,12.372156
91.504325,10,12.454047
73.038302,8,12.521454
110.905954,12,12.579406
91.660309,10,12.659952
82.610474,9,12.728199
119.565349,13,12.793938
129.909708,14,12.88672
138.559514,15,12.982591
128.809749,14,13.083568
82.192139,9,13.176476
119.916882,13,13.244333
129.352812,14,13.332409
110.877587,12,13.431364
73.467601,8,13.51172
91.609421,10,13.572819
92.314755,10,13.645933
119.876226,13,13.717717
73.501867,8,13.813715
82.832819,9,13.870005
83.134766,9,13.929781
129.456983,14,13.999194
110.602052,12,14.093243
120.049257,13,14.202314
91.713376,10,14.301549
82.909712,9,14.370793
100.995848,11,14.437613
157.588161,17,14.517166
101.500306,11,14.634254
91.46318,10,14.707365
119.68352,13,14.779705
101.073722,11,14.874565
91.540188,10,14.947098
82.642745,9,15.022839
101.04677,11,15.133326
166.724042,18,15.214424
148.443608,16,15.338593
101.281098,11,15.447365
91.486619,10,15.527247
92.058923,10,15.598075
92.052664,10,15.668497
148.434765,16,15.742148
92.314724,10,15.848878
92.166905,10,15.918434
92.39708,10,15.99038
91.921871,10,16.062065
129.731455,14,16.135784
120.019001,13,16.231985
101.284707,11,16.32041
82.303881,9,16.398872
64.083366,7,16.457454
91.910495,10,16.511302
92.156522,10,16.582605
101.812747,11,16.656115
101.163856,11,16.729904
157.256189,17,16.813862
91.924044,10,16.922979
101.823132,11,17.001865
83.046676,9,17.08813
92.448465,10,17.149851
119.693228,13,17.223682
129.632777,14,17.318831
110.628768,12,17.414386
119.886507,13,17.498849
92.194,10,17.584662
120.280598,13,17.656655
129.465676,14,17.74967
157.7173,17,17.850703
101.565472,11,17.960667
101.70583,11,18.039252
119.829316,13,18.114639
110.752414,12,18.206921
110.73987,12,18.291114
92.316092,10,18.375656
82.499227,9,18.446335
111.136266,12,18.508588
138.640445,15,18.594966
129.048742,14,18.701342
91.912315,10,18.79552
92.175354,10,18.866654
91.809817,10,18.936116
101.284959,11,19.006802
120.194444,13,19.083094
240.831313,26,19.186136
120.018776,13,19.358193
101.698497,11,19.44544
110.486489,12,19.526644
148.246395,16,19.61514
129.4178,14,19.724726
110.483215,12,19.821278
101.387653,11,19.903867
139.063922,15,19.981145
167.038348,18,20.091269
138.735899,15,20.216908
185.912734,20,20.322703
101.061701,11,20.458378
148.273038,16,20.541493
138.580313,15,20.654495
91.843115,10,20.751262
147.842199,16,20.827176
240.906778,26,20.943884
202.627392,22,21.120078
119.616311,13,21.289806
232.19538,25,21.395885
148.120597,16,21.558274
129.033719,14,21.669117
101.682016,11,21.763752
101.483057,11,21.844163
110.832267,12,21.918481
129.293436,14,22.006988
110.956495,12,22.1026
185.053564,20,22.191134
176.506548,19,22.333289
101.660026,11,22.460937
110.34723,12,22.53538
92.206863,10,22.619921
101.433268,11,22.691262
101.441972,11,22.770124
92.245119,10,22.844668
101.609222,11,22.915056
129.434335,14,22.996429
185.601084,20,23.096677
110.739858,12,23.229671
194.618434,21,23.319908
194.929381,21,23.460991
269.360927,29,23.613584
166.584837,18,23.801601
232.093032,25,23.930963
157.546401,17,24.099519
92.325492,10,24.209097
138.454973,15,24.282608
203.952647,22,24.395132
166.37293,18,24.543568
101.001843,11,24.664
129.746574,14,24.740184
120.116819,13,24.837842
129.314067,14,24.931006
195.06308,21,25.03396
147.994688,16,25.173145
203.63314,22,25.287646
278.090396,30,25.445153
193.885924,21,25.645722
138.287499,15,25.787027
119.857077,13,25.885716
184.892922,20,25.982386
232.096817,25,26.123601
194.588592,21,26.289015
325.823195,35,26.445816
175.307901,19,26.670068
138.308835,15,26.800302
194.496775,21,26.905708
129.017111,14,27.047417
184.663272,20,27.14843
129.025298,14,27.281139
166.640593,18,27.380667
296.573604,32,27.514902
156.924107,17,27.722814
241.531588,26,27.845039
128.844711,14,28.015222
185.568848,20,28.116299
241.438959,26,28.292011
185.077995,20,28.46712
175.279932,19,28.604954
129.109641,14,28.735436
204.346543,22,28.837739
156.962539,17,28.985126
119.282286,13,29.096717
175.398673,19,29.194342
119.738126,13,29.332034
175.532433,19,29.428792
334.510224,36,29.567893
157.021133,17,29.803133
138.387527,15,29.921947
147.87423,16,30.023062
175.604495,19,30.136243
157.128795,17,30.268638
222.343161,24,30.389815
278.71393,30,30.559621
166.516997,18,30.757073
222.70359,24,30.886203
278.328909,30,31.055633
222.088771,24,31.257961
157.226037,17,31.418407
184.12993,20,31.540133
277.564978,30,31.686537
213.144368,23,31.886027
250.46298,27,32.043299
176.120131,19,32.226489
278.312598,30,32.361604
194.84039,21,32.560429
324.357248,35,32.718976
203.491515,22,32.987589
138.51459,15,33.17923
325.374704,35,33.359176
334.197573,36,33.610154
315.005085,34,33.94122
287.67139,31,34.242641
166.567101,18,34.522108
250.553351,27,34.745342
249.964356,27,35.046797
306.082979,33,35.375773
241.089804,26,35.807974
381.391376,41,36.121096
437.236985,47,36.519802
137.76867,15,36.922757
287.103405,31,37.114555
315.995333,34,37.441455
278.741065,30,37.730224
250.484478,27,38.131731
287.981244,31,38.462032
231.560135,25,38.825724
156.901469,17,39.121093
156.8891,17,39.256178
156.902155,17,39.399213
259.449948,28,39.538377
184.112118,20,39.746718
241.324819,26,39.907441
165.639428,18,40.086957
231.131041,25,40.237213
278.263071,30,40.427313
287.428522,31,40.637243
250.125488,27,40.861548
203.272905,22,41.058375
231.776493,25,41.231585
324.883502,35,41.414339
409.303701,44,41.683561
390.324707,42,42.00486
362.783348,39,42.298051
231.571264,25,42.558233
240.829137,26,42.744263
315.792819,34,42.935792
550.247366,59,43.189229
428.033119,46,43.580303
297.228043,32,43.886753
230.965571,25,44.10548
193.901243,21,44.284842
315.740436,34,44.477362
352.782832,38,44.723893
306.909418,33,44.98191
400.683001,43,45.332648
324.812793,35,45.798809
240.727531,26,46.076298
259.149686,28,46.285103
259.923991,28,46.529127
820.614712,88,46.804184
249.944074,27,47.413343
268.331417,29,47.620013
306.142799,33,47.855083
231.563783,25,48.087712
241.094501,26,48.277347
240.485097,26,48.478363
324.389017,35,48.669398
390.079669,42,48.913774
249.248432,27,49.216778
363.101434,39,49.43592
334.096759,36,49.724899
250.197216,27,49.998997
258.385301,28,50.24147
202.505541,22,50.461696
334.671982,36,50.686833
465.016118,50,50.973432
409.268239,44,51.365478
428.040295,46,51.727045
1036.061927,111,52.242933
521.025884,56,52.968451
259.282072,28,53.356419
399.860663,43,53.569463
577.85282,62,53.911223
333.996206,36,54.564737
540.561518,58,54.985184
315.664229,34,55.477111
249.895892,27,55.768288
343.643518,37,55.958988
278.630106,30,56.215806
315.875925,34,56.423288
250.194848,27,56.649115
428.481849,46,56.844272
324.970153,35,57.150199
353.341119,38,57.396782
577.416005,62,57.671751
773.758039,83,58.10418
297.070563,32,58.628359
1072.564779,115,58.905174
231.260362,25,59.620485
400.048812,43,59.800765
502.944956,54,60.137711
325.825376,35,60.492544
297.480825,32,60.789694
427.967701,46,61.159147
334.316588,36,61.603621
447.260198,48,61.878227
568.502477,61,62.279954
661.191057,71,62.740743
801.643086,86,63.270454
250.681285,27,63.825772
315.672013,34,64.019403
334.533967,36,64.25132
437.735315,47,64.502918
231.299474,25,64.803199
343.673825,37,64.986092
428.361622,46,65.242563
399.861936,43,65.550907
343.812865,37,65.840714
587.010821,63,66.106564
577.768647,62,66.54365
287.708953,31,66.941161
577.378947,62,67.19723
259.408831,28,67.595066
474.688331,51,67.809747
492.875152,53,68.240515
278.070538,30,68.60402
418.577607,45,68.854483
268.778858,29,69.166519
483.911646,52,69.397352
446.367527,48,69.864648
400.475248,43,70.270441
269.285885,29,70.665804
530.35789,57,70.88398
475.275474,51,71.275056
381.069808,41,71.608757
596.267695,64,71.905231
353.447587,38,72.31863
576.649609,62,72.592052
343.888627,37,72.995634
596.761064,64,73.261968
707.506547,76,73.702598
642.360206,69,74.210432
566.44715,61,74.697127
427.117174,46,75.114255
503.034234,54,75.44009
362.187475,39,75.836431
539.567534,58,76.132309
408.157972,44,76.549935
633.261753,68,76.880603
792.685213,85,77.378832
315.975171,34,78.108021
437.301468,47,78.389556
623.758471,67,78.781146
950.839618,102,79.298627
1699.404872,182,80.077021
867.223084,93,81.268752
380.945103,41,81.902771
493.679757,53,82.187755
473.279131,51,82.742553
661.682389,71,83.14507
456.325345,49,83.728201
456.192299,49,84.088314
1026.296395,110,84.483644
502.445814,54,85.231959
586.780542,63,85.605226
530.433894,57,86.024638
502.70947,54,86.417652
1100.198248,118,86.82946
773.6974,83,87.684155
623.99328,67,88.281437
305.917169,33,88.718691
726.527185,78,88.974904
680.081088,73,89.534417
717.269199,77,90.148957
446.072908,48,90.967074
539.450998,58,91.390357
867.524217,93,91.851977
745.953553,80,92.569078
1099.974739,118,93.236959
717.673093,77,94.022083
1044.838531,112,94.588116
1138.265638,122,95.357149
708.339613,76,96.15472
1035.601694,111,96.779918
1128.717668,121,97.676524
830.130251,89,98.702332
1034.741484,111,99.511943
389.984454,42,100.474292
998.543973,107,100.830919
1063.734544,114,101.595158
1605.689093,172,102.411796
333.746734,36,103.481555
362.19812,39,103.754452
1353.347996,145,104.127905
1456.588751,156,105.163297
1885.640383,202,106.323444
988.941562,106,107.883552
408.826244,44,108.555398
1279.055964,137,108.949083
492.956719,53,109.822574
1718.755289,184,110.278321
1194.660005,128,111.510223
1456.638702,156,112.458434
2044.954565,219,113.643831
390.116504,42,115.133082
1110.033137,119,115.476579
2016.756788,216,116.354681
866.229499,93,117.726576
8955.12059,958,119.018828
9346.667645,1000,125.980787
9346.380236,1000,133.435476
9335.664955,1000,141.021684
9347.218468,1000,148.269956
641.836278,69,154.835319
9348.909509,1000,155.991265
9338.476427,1000,163.208595
9344.412172,1000,170.141993
9346.368222,1000,177.452343
9348.759574,1000,184.466831
9349.340281,1000,191.570521
9344.776088,1000,198.72991
9343.209276,1000,205.932308
9350.179308,1000,213.094161
9347.218808,1000,220.584099
9350.044127,1000,227.716159
9348.060925,1000,234.748859
9350.817207,1000,241.889263
9349.727915,1000,249.356291
9344.186209,1000,257.19077
9342.722308,1000,265.535723
9333.815632,1000,272.912829
9346.116403,1000,279.987638
9342.961158,1000,287.384241
9342.637817,1000,295.723597
9341.877846,1000,303.302196
9335.397456,1000,310.723686
9324.74403,1000,318.438563
9320.382371,1000,326.283242
1096.762837,118,332.713041
1879.532736,202,333.850394
8725.017459,937,336.333409
5326.333876,573,343.135796
5776.539062,621,347.150756
183.853626,20,351.174278
248.68444,27,351.319077
107.042724,12,351.498597
155.129761,17,351.587723
81.965514,9,351.695952
266.864938,29,351.779373
3613.795208,389,352.229869
435.246003,47,354.659104
9310.94653,1000,355.694467
100.699907,11,362.388196
9310.630535,1000,363.200681
9303.039665,1000,370.229595
